question,answer
"How can a user adjust the program for a video that was not recorded at the default 60 frames per second?","A user can specify the video's actual frame rate using the --fps command-line argument. This is crucial for accurate speed calculations, as speed is derived from distance traveled per frame."
"What is the difference between process.py and processTester.py?","process.py is the main, fully-featured script for running the entire analysis pipeline. processTester.py appears to be a smaller, specialized script used during development for testing specific functionalities, particularly the pose tracking components."
"How does the application handle the thrower's form analysis? Which file is responsible for this?","The thrower's form is analyzed using a pose estimation model. The src/pose_tracker.py file is responsible for this; it uses the MediaPipe library to load a model and extract 33 3D body landmarks from the relevant video frames."
"What happens in the findDisc method within src/disc_tracker.py?","The findDisc method isolates the disc in flight. It subtracts the static background from a frame, applies a threshold to create a binary image of moving objects, and then uses cv2.findContours to identify the shape and bounding box of the disc."
"How does the script determine which frames to use for the detailed pose analysis?","After DiscTracker determines the frame index where the disc first appears in flight, the process.py script selects a slice of frames around that point (from 2 seconds before to 1 second after) and passes this segment to the PoseTracker."
"Can the program be run without the video display windows popping up during analysis?","Yes, by including the --no-video command-line flag when running process.py, the user can suppress the pop-up video windows and run the analysis in the background."
"How does the WireframeAnimator class create the illusion of a moving 3D figure?","It uses matplotlib.animation.FuncAnimation, which repeatedly calls an update function. In each call, the update function clears the plot and redraws the 3D wireframe using the landmark data from the next frame in the sequence."
"If I use a disc with a different size, how do I tell the program?","You can provide the correct disc size using the --disc_radius command-line argument, followed by the radius in centimeters. For example: python3 process.py my_video.mp4 --disc_radius 10.75."
"What is the mathematical formula used in perspective_calculator.py to find the pixel-to-meter ratio?","The calculate_ratio method uses the formula self.R / r, where R is the known physical radius of the disc in meters and r is the detected radius of the disc in pixels."
"What is the purpose of the findBackground method in the DiscTracker class?","The findBackground method creates a static background image by calculating the mean of all frames in the provided video segment. This background is later used to isolate moving objects like the disc."
"How are the body parts of the 3D wireframe connected in the visualization?","The connections are hardcoded in the createWireFrame (in pose_tracker.py) and update (in wireframe_animation.py) methods. They define lines to be drawn between specific landmark indices from the MediaPipe model, for example, connecting the left shoulder landmark to the left elbow landmark."
"What is the role of the data/examples.txt file?","The data/examples.txt file is a simple text file that mentions it contains examples of videos that can be used with the tracker, likely for testing or demonstration purposes."
"What specific OpenCV function is used to detect the disc for the initial calibration?","The perspective_calculator.py script uses the cv2.HoughCircles function to detect circular objects in the video frames, which is how it identifies the disc to calculate the perspective ratio."
"How does the script handle potential inaccuracies in the disc's detected position over time?","The findDiscSpeedAngle function in disc_tracker.py calculates speeds and angles from the position data. It then passes these values to the functions.remove_outliers utility to filter out statistical noise before calculating the final average, making the result more reliable."
"Why does the process.py script split the video frames into a leftHalf and rightHalf for processing?","It splits the frame spatially. The leftHalf is sent to the DiscTracker (assuming the disc flies into the left side of the frame), while the rightHalf is sent to the PoseTracker (assuming the thrower is on the right side). This focuses each module on the relevant area of the video."
