question,answer
"How does the 'VotingPage' handle a user not voting within the time limit?","The 'VotingPage' uses the 'react-timer-hook' for a 5-second countdown. If the user does not vote in time, the 'onExpire' callback is triggered, which submits a neutral vote (value of 0) to keep the process moving."
"What is the purpose of the 'ProtectedPage.js' component on the frontend?","'ProtectedPage.js' is a component that wraps other pages to secure them. It checks the 'AuthContext' to see if a user is logged in. If not, it automatically redirects the user to the '/login' page, preventing access to authenticated routes."
"How does the application handle the case where a generated coop name like 'zany-waffle' already exists?","The 'createFlock' function in the backend first generates a code, then checks the database to see if it already exists. If it does, it enters a loop, appending an incrementing number (e.g., 'zany-waffle1') to the code until a unique one is found."
"What happens on the 'WinnerPage' if no winning restaurant can be determined?","If the backend's decision logic returns no winner, for instance if no votes were cast, the 'WinnerPage.js' component displays the message 'Your eggs have cracked...' and 'Decision not available' instead of a restaurant name."
"What is the role of the 'ci-testing.yml' GitHub Actions workflow?","The 'ci-testing.yml' workflow is the main Continuous Integration (CI) pipeline. It runs on every push and pull request to the main branch, installing all dependencies, running the linter to check code style, and executing the full Cypress end-to-end test suite to prevent regressions."
"How does the frontend use browser local storage?","The frontend uses 'localStorage' to persist a user's identity within a specific flock session. In 'NameFormPage.js', after a user enters their name, their 'chickName' and 'chickId' are saved to 'localStorage'. This allows them to be identified in subsequent API calls for that flock without having to re-enter their name."
"What are some of the custom colors defined in the Tailwind CSS configuration?","The 'tailwind.config.js' file extends the default theme with custom colors, including a 'primary' orange (#FC8800), 'accent_red' (#FD4C3C), 'accent_yellow' (#FCB000), and various text shades like 'gray_text' (#696767)."
"What is the purpose of the `/flocks/:coopName/step` API endpoint?","The POST endpoint at `/flocks/:coopName/step` allows the owner of a flock to advance the group to the next stage of the decision-making process. It increments the 'step' property in the database and emits a 'flock-updated' WebSocket event to notify all clients of the change in real-time."
"How is the Tenor API used in the application and how is the API key protected?","The Tenor API is used on the 'VotingPage' to fetch a relevant GIF for each restaurant nomination, making voting more engaging. The API call is proxied through the backend, which reads the `TENOR_API_KEY` from its environment variables. This protects the key by never exposing it in the client-side frontend code."
"Describe the deployment process for the backend application.","The backend is deployed using the `ci-cd_chickentinder-backend.yml` GitHub Actions workflow. On a push to the 'main' branch, a 'build' job runs tests and zips the backend code into an artifact. A subsequent 'deploy' job downloads the artifact, logs into Azure, and deploys the package to the 'chickentinder-backend' Azure Web App."
"What is the function of the `addChickToFlock` service in the backend?","The `addChickToFlock` function in 'flock-services.js' adds a new member (a 'chick') to a flock. It ensures that the chick's name is not already taken within that specific flock to prevent duplicates, then adds the new chick to the flock's 'chicks' array and saves the document."
"What specific routes are defined in the frontend's main 'App.js' file?","The main 'App.js' file uses React Router to define the application's URL structure. Key routes include '/' for the `TutorialPage`, '/welcome' for the `WelcomePage`, '/login' and '/register' for authentication, and dynamic routes like '/flock/:coopName' for the `MainFlockPage` and '/flock/:coopName/join' for the `NameFormPage`."
"What is the purpose of the `TextButtonInput.js` component?","'TextButtonInput.js' is a reusable frontend component that combines a text input field with a button on the right side. It is used throughout the app for actions like submitting a coop name, a chick name, or a restaurant nomination."
"How can a developer start a local development environment for this project?","According to the 'README.md', a developer can set up a local environment by cloning the repository, running `npm install` at the root, creating the necessary '.env' files for the backend and frontend, and then running `npm run backend-dev` and `npm run frontend-dev` in separate terminals."
"What is the purpose of the `revote` button on the winner page?","The 'Revote' button on the 'WinnerPage' allows the group to start a new voting round. When clicked, it calls the backend to delete the current basket of eggs, and then it calls the `nextStep` function to reset the flock's state back to step 2 (the nomination page), allowing users to submit new restaurant options."
