question,answer
"What is the Gosling framework and how is it used in the project proposal?","Gosling is an experimental Android agent framework. The project proposes to fork Gosling and integrate the fine-tuned, local LLM as its reasoning engine. Gosling would provide the mechanisms for the LLM to interact with the device's capabilities, such as using Accessibility Services to automate tasks in other apps."
"What two different fine-tuning approaches does the project proposal suggest comparing?","The project proposal suggests exploring and comparing two fine-tuning methods: 1) Full Fine-tuning, where all the weights of the Qwen3-0.6B model are updated. 2) Parameter-Efficient Fine-Tuning (PEFT), such as using Adapters or LoRA, where the base model is frozen and only a small number of additional parameters are trained."
"What is the final project proposed in this repository?","The proposal is to build a personalized, on-device AI assistant by fine-tuning the Qwen3-0.6B small language model with personal data and integrating it into the Gosling Android agent framework to automate tasks on a smartphone."
"What were the two generative models built in Homework 3, and what dataset were they trained on?","Homework 3 involved building a Deep Convolutional Generative Adversarial Network (DCGAN) and a Latent Diffusion Model. Both models were trained on the Frey face dataset."
"In Homework 4's Q-learning implementation, what was the key difference in training required for the 'slippery' Frozen Lake environment compared to the non-slippery one?","The 'slippery' (stochastic) environment required a much longer training time (200,000 steps vs. 2,000) and a slower epsilon decay rate to allow for sufficient exploration, which was necessary to learn a robust policy and achieve a high success rate."
"How does the n-step Deep Q-Learning agent in hw4/main.ipynb calculate its target values for training?","It uses an episodic, n-step approach. After an episode completes, it calculates the discounted cumulative reward (return) for each step by iterating backwards through the episode's rewards. These calculated returns are then used as the target values to train the Q-network."
"What specific Python libraries are central to the implementation of the projects in this repository?","The core libraries used are TensorFlow 2 (with its Keras API) for building and training neural networks, NumPy for numerical operations, and Gymnasium for the reinforcement learning environments."
"According to hw2/main.ipynb, what was the final test accuracy for the classifier trained on MNIST embeddings, and what did this result signify?","The classifier achieved a test accuracy of 99.91%. This high accuracy demonstrates that unsupervised pre-training with an autoencoder can effectively learn meaningful, low-dimensional features that make a subsequent supervised classification task much more efficient and successful."
"In the project proposal, what is Parameter-Efficient Fine-Tuning (PEFT), and why is it relevant?","PEFT refers to techniques like Adapter Tuning or LoRA that adapt a pre-trained model by training only a small number of additional parameters. It's relevant for the project because it's a computationally efficient way to personalize a model for resource-constrained devices like smartphones."
"What visualization technique in hw2/main.ipynb demonstrated the structure of the learned representation of the Frey faces?","The notebook generated new faces by decoding points from a regular grid in the 2D latent space. This visualization clearly showed how different regions of the latent space corresponded to different facial poses and expressions, proving the model learned a structured manifold."
"How did the GAN implementation in hw3/main.ipynb handle the training of the generator and discriminator?","It used a custom training loop with tf.GradientTape to alternate between updating the two networks. The discriminator was trained on batches of real and fake images, while the generator was trained by trying to produce images that the discriminator would classify as real."
"What was the architecture of the Q-network used for Deep Q-Learning in Homework 4?","The Q-network was a multi-layer perceptron (MLP) with an input layer matching the state size (4), a single hidden layer with 32 units and ReLU activation, and an output layer with a linear activation that produced a Q-value for each of the two possible actions."
"What specific change was made in the hw1/main.ipynb model to improve its robustness to rotation?","A layers.RandomRotation layer was added as the first layer after the input in the tf.keras.Sequential model. This layer applies random rotations to the training images on-the-fly, a form of data augmentation that teaches the model to be invariant to rotation."
"Why did the second experiment in the Deep Q-Learning part of Homework 4 fail to learn a good policy?","The experiment failed due to a combination of premature exploitation (from a high epsilon decay rate) and insufficient training data (from only 100 episodes). The agent stopped exploring too early and did not have enough experience to learn an effective strategy."
"What is the role of the decoder model in the Latent Diffusion Model implemented in Homework 3?","After the diffusion model samples a new 2D vector from the learned latent space, the pre-trained autoencoder's decoder is used to transform that 2D vector back into a full-size, 28x20 pixel image."
"What were the proposed evaluation metrics for the personalized LLM in Phase 1 of the final project?","The evaluation included a qualitative assessment of personalization and accuracy, and a quantitative assessment of resource usage (storage size, latency, memory) and perplexity on a held-out personal dataset. A key part was comparing the trade-offs between a fully fine-tuned model and an adapter-based one."
"What is the 587/project/notes.md file about?","The notes.md file documents a change in scope for the final project. The author decided to pivot from a general personalized assistant to one focused on professional context, training the model on personal facts relevant to interviews and on the content of their GitHub repositories."
